Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
@abcum/ember-bigdata,0.0,0.625,0.71428,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@abcum/ember-charts,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
@abcum/ember-contextmenu,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@abcum/ember-domain,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
@abcum/ember-editables,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-gridlist,1.25,2.25,2.57142,3.71428,3.71428,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-helpers,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
@abcum/ember-hotkey,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-internet,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-location,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-modals,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-popups,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
@abcum/ember-quill,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.33333,3.29192,3.45454
@abcum/ember-select,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-storage,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-strings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.30303
@abcum/ember-stripe,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-version,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@abcum/ember-visuals,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.45454
@addepar/ember-toolbox,3.75,4.375,5.0,5.0,5.0,5.625,5.625,5.67901,5.65217,5.51515
@addepar/pop-menu,3.75,4.375,5.0,5.0,5.0,5.625,5.625,5.55555,5.59006,5.45454
@adfinis-sygroup/ember-simple-auth-oidc,5.0,6.0,6.85714,6.85714,6.85714,6.0,5.375,5.30864,5.34161,5.21212
@alexlafroscia/ember-wizard,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@amcharts/amcharts4-ember,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.25,6.29629,6.27329,6.36363
@amk221/ember-autofocus,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@ampatspell/ember-cli-analytics,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-keyboard,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-images,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-session,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-strings,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@bagaar/ember-breadcrumbs,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@bagaar/ember-permissions,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@buschtoens/ember-cli-deploy-compress,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@busy-web/components,5.0,5.625,6.42857,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
@busy-web/deploy,1.25,1.875,2.14285,2.14285,2.14285,3.125,3.125,3.20987,3.1677,3.33333
@busy-web/ember-cli-launch-darkly,1.25,1.875,2.14285,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@busy-web/ember-date-time,3.75,4.75,5.42857,6.14285,4.71428,5.375,5.375,5.43209,5.40372,5.51515
@busy-web/graylog,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
@busy-web/utils,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,4.93827,4.96894,5.0909
@busybusy/components,2.5,2.5,2.85714,3.57142,3.57142,4.375,3.75,3.82716,3.78881,3.93939
@cardstack/auth0,2.5,3.125,3.57142,4.71428,3.28571,4.125,4.125,4.19753,4.16149,4.0606
@cardstack/core-types,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@cardstack/live-queries,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.72727
@cardstack/sftp,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,4.93827,4.96894,4.84848
@cardstack/workflow,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@centerforopenscience/ember-osf,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
@chattermill/ember-cli-index-redirect,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
@cross-check/core,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@cross-check/dsl,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@cross-check/schema,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@css-blocks/ember-cli,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.14814,8.13664,7.93939
@cubicl/ember-highcharts,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
@econlab/ember-cli-deploy-firebase,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
@ember-decorators/auto-computed,3.75,4.375,5.0,5.71428,4.28571,5.0,5.0,4.93827,4.96894,5.0909
@ember-decorators/babel-transforms,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/component,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/controller,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/data,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/object,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/service,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/utils,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-intl/cp-validations,6.25,6.875,7.14285,8.28571,8.28571,8.5,8.5,8.51851,8.50931,8.54545
@ember-intl/decorators,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.125,8.14814,8.13664,7.93939
@ember-intl/messageformat-parser-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember-intl/messageformat-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember-intl/polyfill,2.5,2.5,2.85714,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.30303
@ember-intl/relativeformat-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember/jquery,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@ember/octane-addon-blueprint,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
@ember/octane-app-blueprint,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
@ember/optional-features,6.25,7.25,7.57142,7.57142,7.14285,7.5,7.5,7.4074,7.45341,7.27272
@ember/ordered-set,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.875,8.76543,8.81987,8.84848
@ember/render-modifiers,6.25,7.5,7.85714,7.85714,6.42857,6.875,6.875,6.91358,6.8944,6.96969
@ember/string,6.25,6.25,7.14285,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
@ember/test-helpers,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@fastly/ember-anti-clickjacking,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.72727
@fizmo/ember-cli-emblem,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@fortawesome/ember-fontawesome,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.14814,8.13664,7.93939
@glimmer/application-pipeline,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
@glimmer/blueprint,2.5,2.25,2.57142,2.57142,2.57142,3.5,3.5,3.58024,3.54037,3.45454
@glimmer/inline-precompile,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@html-next/flexi-default-styles,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/flexi-dsl,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
@html-next/flexi-layouts,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/flexi-sustain,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/vertical-collection,10.0,8.5,8.28571,9.42857,9.42857,9.5,9.5,9.50617,9.5031,9.51515
@indigoframework/ember-mapexplorer,2.5,3.125,3.57142,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.30303
@jasonmit/ember-cli-deploy-sentry,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
@jasonmit/ember-cli-dotenv,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@jasonmit/ember-trix-editor,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.9753,1.92546,2.12121
